,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,y
0,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,0,nonexistent,no
1,57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,0,nonexistent,no
2,37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,0,nonexistent,no
3,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,0,nonexistent,no
4,56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,0,nonexistent,no
5,45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,0,nonexistent,no
6,59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,0,nonexistent,no
7,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,0,nonexistent,no
8,24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,0,nonexistent,no
9,25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,0,nonexistent,no
10,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,0,nonexistent,no
11,25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,0,nonexistent,no
12,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,0,nonexistent,no
13,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,0,nonexistent,no
14,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,0,nonexistent,no
15,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,0,nonexistent,no
16,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,0,nonexistent,no
17,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,0,nonexistent,no
18,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,0,nonexistent,no
19,39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,0,nonexistent,no
20,30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,0,nonexistent,no
21,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,0,nonexistent,no
22,55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,0,nonexistent,no
23,41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,0,nonexistent,no
24,37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,0,nonexistent,no
25,35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,0,nonexistent,no
26,59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,0,nonexistent,no
27,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,0,nonexistent,no
28,54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,0,nonexistent,no
29,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,0,nonexistent,no
30,46,admin.,married,unknown,no,no,no,telephone,may,mon,348,1,0,nonexistent,no
31,59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,0,nonexistent,no
32,49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,1,0,nonexistent,no
33,54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,1,0,nonexistent,no
34,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,0,nonexistent,no
35,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,0,nonexistent,no
36,34,services,married,high.school,no,no,no,telephone,may,mon,365,1,0,nonexistent,no
37,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,0,nonexistent,no
38,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,0,nonexistent,no
39,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,1,0,nonexistent,no
40,58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,0,nonexistent,no
41,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,0,nonexistent,no
42,38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,0,nonexistent,no
43,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,0,nonexistent,no
44,44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,0,nonexistent,no
45,42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,1,0,nonexistent,no
46,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,0,nonexistent,no
47,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,1,0,nonexistent,no
48,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,0,nonexistent,no
49,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,2,0,nonexistent,no
50,54,admin.,married,high.school,no,no,no,telephone,may,mon,160,1,0,nonexistent,no
51,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,1,0,nonexistent,no
52,60,admin.,married,high.school,no,no,no,telephone,may,mon,253,1,0,nonexistent,no
53,53,admin.,single,professional.course,no,no,no,telephone,may,mon,179,1,0,nonexistent,no
54,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,2,0,nonexistent,no
55,55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,1,0,nonexistent,no
56,50,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,1,0,nonexistent,no
57,45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,1,0,nonexistent,no
58,55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,0,nonexistent,no
59,25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,1,0,nonexistent,no
60,47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,1,0,nonexistent,no
61,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,1,0,nonexistent,no
62,42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,1,0,nonexistent,no
63,42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,1,0,nonexistent,no
64,48,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,0,nonexistent,no
65,37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,0,nonexistent,no
66,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,1,0,nonexistent,no
67,33,admin.,married,unknown,no,yes,no,telephone,may,mon,273,1,0,nonexistent,no
68,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,2,0,nonexistent,no
69,44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,1,0,nonexistent,no
70,41,management,married,basic.6y,no,no,no,telephone,may,mon,200,1,0,nonexistent,no
71,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,0,nonexistent,no
72,47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,0,nonexistent,no
73,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,0,nonexistent,no
74,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,1,0,nonexistent,no
75,41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,0,nonexistent,yes
76,55,technician,married,university.degree,no,no,no,telephone,may,mon,349,1,0,nonexistent,no
77,33,services,married,high.school,unknown,yes,no,telephone,may,mon,337,2,0,nonexistent,no
78,55,management,married,unknown,unknown,yes,no,telephone,may,mon,272,1,0,nonexistent,no
79,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208,1,0,nonexistent,no
80,50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193,1,0,nonexistent,no
81,51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,1,0,nonexistent,no
82,38,admin.,married,high.school,unknown,no,no,telephone,may,mon,165,2,0,nonexistent,no
83,49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,0,nonexistent,yes
84,38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,1,0,nonexistent,no
85,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,0,nonexistent,no
86,41,management,married,basic.6y,no,no,no,telephone,may,mon,529,2,0,nonexistent,no
87,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,1,0,nonexistent,no
88,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,0,nonexistent,yes
89,34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,2,0,nonexistent,no
90,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,2,0,nonexistent,no
91,57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,1,0,nonexistent,no
92,60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,0,nonexistent,no
93,33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,1,0,nonexistent,no
94,42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,1,0,nonexistent,no
95,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,0,nonexistent,no
96,42,management,married,university.degree,no,no,no,telephone,may,mon,426,1,0,nonexistent,no
97,53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287,1,0,nonexistent,no
98,37,technician,single,professional.course,no,no,no,telephone,may,mon,197,1,0,nonexistent,no
99,44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,1,0,nonexistent,no
100,54,services,married,unknown,no,yes,no,telephone,may,mon,229,1,0,nonexistent,no
101,49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,3,0,nonexistent,no
